name,organizer_facebook,organizer_name,organizer_website,organizer_twitter,first_performer,second_performer,timezone,id,start_date,start_time,end_date,end_time,summary,city,country,region,localized_address_display,postal_code,street_address,latitude,longitude,images,listing_url
Hillside Festival 2022,hillsidefestivalguelph,Hillside Festival - Guelph,https://hillsidefestival.ca/,HillsideFest,,,America/Toronto,65006981632,2022-07-22,16:30,2022-07-24,23:00,Hillside Festival brings together acclaimed and groundbreaking artists for the ultimate musical celebration!,Guelph,CA,ON,"7743 Conservation Rd, Guelph, ON N1H 6J1",N1H 6J1,7743 Conservation Rd,43.6055814,-80.2569253,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F78638977%2F231087537183%2F1%2Foriginal.20191029-171013?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C0%2C2158%2C1079&s=2d2366de44148576a5899ebde0f76084,https://www.eventbrite.ca/e/hillside-festival-2022-tickets-65006981632
OFFICIAL  JAB JAB J'OUVERT 2022 - Toronto Caribana Caribbean Carnival,,Jab Jab J'Ouvert Inc.,http://www.JabJab.ca,,,,America/Toronto,102380085592,2022-07-29,16:00,2022-07-30,04:00,"Toronto Caribana / Caribbean Carnival Weekend #1 Friday Event ... 
The Official Jab Jab J'Ouvert .
An Event full of Mas, Water, Paint & Fun!",Toronto,CA,ON,"to be announced, Toronto, ON M6A1C2",M6A1C2,to be announced,43.7139668,-79.45324829999998,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F238386989%2F220076006281%2F1%2Foriginal.20220301-002720?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C552%2C1500%2C750&s=6195615947a6e26c3a3cfdc51875053e,https://www.eventbrite.ca/e/official-jab-jab-jouvert-2022-toronto-caribana-caribbean-carnival-tickets-102380085592
"TLC, Aqua, Ja Rule, DMC Of Run DMC, Jenny Berggren of Ace of Base + More",RockTheParkLDN,Start.ca Rocks the Park,https://www.rockthepark.ca/,RockTheParkLDN,TLC,"Aqua, Ja Rule, Darryl McDaniels, Jenny Berggren, 112, 2 LIVE CREW",America/Toronto,95420377919,2022-07-15,17:00,2022-07-15,23:00,"Rock The Park  | Friday, July  15th, 2022 | Harris Park",London,CA,ON,"531 Ridout Street N., London, ON N6A 2P8",N6A 2P8,531 Ridout Street N.,42.9855,-81.2556,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F258465709%2F275374644954%2F1%2Foriginal.20220331-230804?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=c2b42ce96f1370fa0003fcbb9e862fd5,https://www.eventbrite.ca/e/tlc-aqua-ja-rule-dmc-of-run-dmc-jenny-berggren-of-ace-of-base-more-tickets-95420377919
SUNDOWNER - FIRST EVER: BOLLYWOOD | EDM | BHANGRA Outdoor DJ Music Festival,bollywoodsocialtoronto,Bollywood Social Toronto,http://bollywoodsocialtoronto.com,eventsbybst,,,America/Toronto,347763328477,2022-07-09,16:30,2022-07-10,00:00,SUNDOWNER - CANADA'S FIRST OUTDOOR DJ MUSIC FESTIVAL!,Markham,CA,ON,"10801 McCowan Road, Markham, ON L3P 3J3",L3P 3J3,10801 McCowan Road,43.92499919999999,-79.295845,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F304185309%2F233613739677%2F1%2Foriginal.20220616-152946?w=371&auto=format%2Ccompress&q=75&sharp=10&s=9a26c2ac31bb80a9635db4eea75e5875,https://www.eventbrite.ca/e/sundowner-first-ever-bollywood-edm-bhangra-outdoor-dj-music-festival-tickets-347763328477
2022 Kemptville Live Music Festival,KemptvilleLive,Kemptville Live Festival,,KemptvilleLive,,,America/Toronto,73423532763,2022-07-21,16:00,2022-07-24,19:00,4 days of award winning LIVE music outdoors on the grounds of the beautiful Kemptville Campus just a 30 minute ride from downtown Ottawa.,Kemptville,CA,ON,"830 Prescott Street, Kemptville, ON K0G 1J0",K0G 1J0,830 Prescott Street,45.0095286,-75.63695330000002,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F73531957%2F132888493180%2F1%2Foriginal.20190919-143107?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C128%2C1024%2C512&s=17661c5f347d52e5e61fc2df9157fbd1,https://www.eventbrite.ca/e/2022-kemptville-live-music-festival-tickets-73423532763
"Alanis Morissette with Garbage, The Beaches and Crash Test Dummies",RockTheParkLDN,Start.ca Rocks the Park,https://www.rockthepark.ca/,RockTheParkLDN,Alanis Morissette,"Garbage, The Beaches, Crash Test Dummies",America/Toronto,215790965587,2022-07-13,16:45,2022-07-13,23:00,"Start.ca Rocks The Park  | Wednesday, July 13th, 2022 | Harris Park",London,CA,ON,"531 Ridout Street N., London, ON N6A 2P8",N6A 2P8,531 Ridout Street N.,42.9855,-81.2556,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F190483709%2F275374644954%2F1%2Foriginal.20211123-021905?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=f1d0b3b5575030a5e4a2870dec07f08f,https://www.eventbrite.ca/e/alanis-morissette-with-garbage-the-beaches-and-crash-test-dummies-tickets-215790965587
AFROBEAT MUSIC FESTIVAL,events/304560936417052,BLACK BUDDIES ENTERTAINMENT,,,,,America/Toronto,289607161817,2022-08-20,13:00,2022-08-20,22:31,AFRICA  LIVE CANADA PRESENT AFROBEAT MUSIC FESTIVAL FOR THE FIRST TIME IN CANADAIAN HISTORY ON AUGUST 20TH!,Ottawa,CA,ON,"300 Coventry Road, Ottawa, ON K1K 4P5",K1K 4P5,300 Coventry Road,45.4208103,-75.655154,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F299129189%2F124542258661%2F1%2Foriginal.20220608-032414?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C442%2C1200%2C600&s=f6c740599647edaf0d1f440481790bde,https://www.eventbrite.ca/e/afrobeat-music-festival-tickets-289607161817
"Dierks Bentley, Ashley McBryde, The Reklaws & BRELAND",RockTheParkLDN,Start.ca Rocks the Park,https://www.rockthepark.ca/,RockTheParkLDN,Dierks Bentley,"Ashley McBryde, The Reklaws, BRELAND ",America/Toronto,302833843177,2022-07-17,16:00,2022-07-17,23:00,"Start.ca Rocks The Park  | Sunday, July 17th, 2022 | Harris Park",London,CA,ON,"531 Ridout Street N., London, ON N6A 2P8",N6A 2P8,531 Ridout Street N.,42.9855,-81.2556,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F255238529%2F275374644954%2F1%2Foriginal.20220327-135953?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=2ea85ed7c73a5974fe8368efed890e50,https://www.eventbrite.ca/e/dierks-bentley-ashley-mcbryde-the-reklaws-breland-tickets-302833843177
"The Glorious Sons, July Talk, Big Wreck, The Trews & Conor Gains",RockTheParkLDN,Start.ca Rocks the Park,https://www.rockthepark.ca/,RockTheParkLDN,The Glorious Sons,"July Talk, Big Wreck, The Trews, Conor Gains",America/Toronto,246735932817,2022-07-14,17:00,2022-07-14,23:00,"Start.ca Rocks The Park  | Thursday, July 14th, 2022 | Harris Park",London,CA,ON,"531 Ridout Street N., London, ON N6A 2P8",N6A 2P8,531 Ridout Street N.,42.9855,-81.2556,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F236165719%2F275374644954%2F1%2Foriginal.20220224-175300?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=b8fe9616e1e3223366b4757c21bd3be6,https://www.eventbrite.ca/e/the-glorious-sons-july-talk-big-wreck-the-trews-conor-gains-tickets-246735932817
FREE CHAMPAGNE BOTTLES & FREE COVER FOR LADIES @BARCODE SATURDAYS EVERY SAT,BarcodeToronto,Life Media Group,https://barcodesaturdays.com/,,,,America/Toronto,276653928347,2022-07-02,22:30,2022-07-03,03:30,FREE CHAMPAGNE BOTTLES & FREE COVER FOR LADIES EVERY SATURDAY before 1130pm when you sign up on the guestlist BARCODE SATURDAYS TORONTO!!!!!,Toronto,CA,ON,"423 College Street, Toronto, ON M5T 1T1",M5T 1T1,423 College Street,43.6564373,-79.4071046,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F235952699%2F340443735365%2F1%2Foriginal.20220224-131138?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=2ba6ec05e8ab04f3ecb217652d8a9184,https://www.eventbrite.ca/e/free-champagne-bottles-free-cover-for-ladies-barcode-saturdays-every-sat-tickets-276653928347
